Thomas,Kaminski,Goalkeeper
Daiki,Hashioka,Defender
Mark,McGuinness,Defender
Viktor,Moses,Midfielder
Carlton,Morris,Attacker
Tom,Holmes,Defender
Thomas,Krauss,Midfielder
Jordan,Clark,Midfielder
Alfie,Doughty,Defender
Tahith,Chong,Midfielder
Elija,Adebayo,Attacker
